"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
27,257087.92003,22452.30499,205.49075,13296.66902,146.90323,32.08164,8.05036
28,43217.27105,22233.64707,360.20298,70805.48489,0.00001,25.72284,3.95164
28,148246.63839,22337.94113,363.18394,59744.08134,49.37121,30.15796,5.36493
28,184605.61768,23463.06048,328.96248,47766.0042,60.78157,31.06501,5.64466
28,221518.80456,22366.71175,408.73635,35443.17548,134.21083,22.48429,8.44892
28,257102.45217,22437.9126,302.82797,39274.53302,101.81105,26.50367,5.06245
28,257125.48478,22440.57292,355.50325,72182.27552,0.00001,27.76272,4.03578
29,7626.1158,21968.36617,208.468,14533.97861,182.73151,37.3401,8.74106
29,43153.44808,22310.56058,379.01932,51022.5038,91.43349,29.50671,6.61504
29,116135.59352,22580.7705,200.9888,15584.6609,189.06517,33.16308,6.83584
29,116215.13129,22551.31252,264.33642,29815.84108,147.40754,38.09747,7.01993
29,148195.2628,22311.35251,348.49571,35999.28812,118.26659,34.77964,9.14397
29,148257.11469,22298.4068,408.78396,78994.30319,2.58006,33.72743,5.68475
29,184548.49334,23447.57938,316.35435,39329.33385,61.28922,33.53053,6.74881
29,184647.3042,23438.23357,224.34181,11741.71549,173.93906,24.55021,8.3941
30,7633.55984,21981.69617,224.36295,22946.25457,131.47129,37.3733,6.48747
30,43185.95633,22261.51696,336.50195,37196.6747,122.93982,34.79999,8.28746
30,79433.96378,22695.71975,277.21482,21951.49446,163.01902,29.48046,8.14908
30,116157.08407,22571.04211,228.79886,20981.78905,177.9221,39.01112,7.63392
30,148250.25794,22318.26565,288.03961,18868.94252,184.76214,26.19794,9.09577
30,148181.36656,22267.96995,407.79899,54487.93443,97.05182,34.07465,8.13971
30,184624.30179,23457.34752,295.54559,29316.30421,116.3747,26.94917,6.44879
30,221479.66665,22505.35682,471.30795,91429.99667,6.07042,24.92028,4.97405
30,221700.39888,22451.26896,620.12166,164176.02989,0.00002,29.14057,5.49359
31,148156.99443,22316.51325,250.01482,13822.27004,126.5077,25.34755,9.07935
31,184635.4989,23465.81086,263.76403,27873.17774,29.6319,27.89664,5.63574
31,257118.57546,22440.78208,283.55815,35188.95662,47.2214,32.48478,5.92693
32,7607.22879,21976.10827,222.16922,19213.23856,112.61794,40.5551,8.14495
32,43144.42938,22185.90107,232.1336,12092.38236,135.51182,28.73924,10.05413
32,79404.07953,22626.294,369.10553,43439.23278,54.23648,30.16384,7.47664
32,148233.19274,22318.67612,488.51623,94879.42303,0.82899,34.99614,6.92492
32,184618.99956,23460.69553,249.29472,23170.64992,62.51596,30.49334,6.52738
32,221651.39983,22511.67483,355.74436,43560.00008,23.06487,32.52262,7.44392
33,79539.54423,22775.26967,323.69446,27979.89598,134.83054,28.96973,8.54332
33,116125.34236,22597.25085,206.80069,17556.96531,157.20241,39.10935,7.48842
33,148163.01786,22296.44862,246.41185,15044.85071,165.62516,29.0483,9.2244
33,148279.82021,22286.45222,216.57861,11650.83485,171.59776,25.31482,8.13446
33,184580.43521,23474.53516,292.30871,26217.11352,120.51258,29.82718,7.68882
33,184620.83024,23439.78128,261.25921,18834.30414,145.56474,31.01837,8.83098
34,43178.44163,22277.29137,379.94031,56953.10409,27.11623,31.01895,6.2619
34,148239.70521,22263.1254,208.61664,11887.42122,130.66633,30.33052,8.76129
34,184543.23458,23490.74523,226.53882,12476.81586,134.00538,30.31864,9.78388
34,184617.3442,23475.77086,350.15408,50242.62352,8.01509,29.54061,5.78863
35,7570.28252,21900.40056,302.48535,52375.09896,20.71275,33.31524,4.70559
35,43182.56075,22187.04193,237.4728,13052.84489,200.9966,31.63402,10.66686
35,43169.98061,22277.85306,272.42777,20391.262,181.74068,31.56514,9.00795
35,43159.75135,22248.83636,436.52971,89086.74779,36.94215,37.29911,6.28859
35,148187.5413,22273.95643,248.14032,12599.90642,202.99592,28.04175,10.73238
35,148196.31214,22294.5953,268.155,18053.41886,178.15157,34.85479,10.78316
35,221649.50724,22440.64524,424.91718,81695.40334,5.49012,28.55437,5.11804
35,257128.79028,22450.7166,188.26118,11891.86541,210.10577,41.39013,9.61643
36,43188.67495,22279.09693,247.70337,15805.08557,154.00976,34.19366,10.33917
36,116150.84184,22568.72172,163.95722,10286.54148,180.8682,46.17951,9.41641
36,148131.06322,22296.05215,308.52803,33763.36199,54.9951,21.17942,4.99094
36,257132.93461,22482.10254,219.76124,16154.35041,146.12492,34.70497,8.15829
37,7578.27649,21941.09803,229.8004,18889.78099,127.1379,33.59079,7.41875
37,43120.51227,22267.32116,392.96753,71107.2956,0.00002,30.20572,5.28804
37,116162.53675,22566.39579,281.12285,45094.74578,0,36.05506,5.06182
37,148179.06426,22277.04537,306.57142,26325.99701,103.75112,27.95597,7.90538
37,221642.12062,22520.86539,440.32182,61610.55277,38.17121,27.43937,6.88395
37,257105.39988,22443.58379,219.8415,15680.61248,144.78379,37.57006,9.04547
38,7603.17223,21931.51506,233.22697,21415.74477,144.26397,28.01056,5.75689
38,43197.25261,22234.25124,357.58461,61510.79907,36.18946,42.29992,6.87412
38,184551.30557,23474.34106,214.54252,10094.48042,208.20815,33.83086,11.99034
38,221692.64433,22480.36541,242.20062,10080.10319,200.2582,38.99826,17.41414
38,221658.48643,22416.71716,359.83757,45118.7844,77.63903,25.42546,5.91024
39,79424.2434,22654.67717,314.71003,28287.48066,125.69279,31.82213,8.73305
39,116164.22141,22583.99461,190.35953,10896.85131,224.22035,39.01394,10.11396
39,184636.74462,23496.20564,233.32705,17084.8639,130.73196,30.44357,7.6846
39,221625.31635,22518.81594,332.47423,47529.87789,11.71742,26.70907,5.0738
39,221603.63214,22497.6958,272.78627,14616.89639,167.97271,27.16231,10.8279
39,257095.05938,22448.33609,190.52544,10642.72087,192.17234,40.24676,10.6763
40,7578.73856,21938.78369,328.44646,59598.66475,0.00002,46.18547,6.52989
40,79423.26126,22641.50607,372.19483,64467.6674,1.40982,34.9625,5.96119
40,116157.42455,22568.4364,278.90094,46322.70884,4.37968,35.27477,4.76973
40,148233.46473,22260.45267,308.73081,31080.50856,96.06116,29.66246,7.21656
40,184557.84777,23475.63273,204.60529,10730.09831,161.30569,28.71802,8.85965
40,184661.70654,23446.98179,324.63623,45965.37305,15.77915,26.28804,4.94113
40,257133.63872,22427.63307,330.19943,46385.64277,64.34981,35.7886,6.63639
