,0
172,1.0
173,0.8225870791239518
174,0.936196459386802
175,1.0
176,0.9303483431473403
177,0.7832529324231983
178,0.9777561838608662
179,0.9124047784660259
180,0.8924311815604862
181,1.0
182,0.9933930763578886
183,0.8863145283070273
184,0.9076024254201507
185,1.0
186,0.7943009403611845
187,0.8624343058855898
188,1.0
189,0.8055530004087936
190,0.8716422771490195
191,1.0
192,0.9655191691003566
193,0.9163957238985014
194,1.0
195,0.9364211381046093
196,1.0
197,1.0
198,0.9055333205175338
199,0.9700041936110735
200,1.0
201,0.8870839351238269
202,1.0
203,1.0
204,0.8885695647967258
205,1.0
206,1.0
207,0.8895034010908278
208,0.9694332737365152
209,1.0
210,0.9688036930753432
211,1.0
212,1.0
213,0.9544610292536508
214,1.0
215,1.0
216,0.8892850289594947
217,0.9777255281672552
218,1.0
219,0.9876843682771457
220,1.0
221,1.0
222,0.9700090712496496
223,1.0
224,1.0
225,0.8778567222219256
226,0.9759761096384083
227,1.0
228,0.9635326368025214
229,1.0
230,1.0
231,0.9390590947137161
232,1.0
233,1.0
234,0.8845685394548499
235,0.9498613209417284
236,1.0
237,0.9563142285049893
238,1.0
239,1.0
240,0.9591815509076815
241,1.0
242,1.0
243,0.8773921093190402
244,0.9542150335935884
245,1.0
246,0.9406327664001672
247,1.0
248,1.0
249,0.9166202651373183
250,1.0
251,1.0
252,0.8618650394572455
253,0.9699057758077367
254,1.0
255,0.9511282296418408
256,1.0
257,1.0
258,0.9743574900858694
259,1.0
260,1.0
261,0.8739834477406935
262,0.9744997740058159
263,1.0
264,0.9656445306510429
265,1.0
266,1.0
267,0.9949307667496992
268,1.0
269,1.0
270,0.8884842209732788
271,0.9556767110230995
272,1.0
273,0.8889598281426696
274,1.0
275,1.0
276,0.8837359755322463
277,0.9972686091273315
278,1.0
279,0.9034037362629912
280,0.9683124391906324
281,1.0
282,1.0
283,1.0
284,1.0
285,1.0
286,0.8885429414839792
287,0.9024190563628056
288,1.0
289,0.9114417765334843
290,0.8746863461126142
291,1.0
292,0.9184780284822619
293,0.8610919454241928
294,1.0
295,0.8924464774172183
296,0.9040673130334229
297,1.0
298,1.0
299,0.9070648302164581
300,0.8987262464694962
301,1.0
302,0.9371282222611487
303,0.7945729200906615
304,0.9920754697446528
305,0.8412167449272792
306,0.950727681449195
307,1.0
308,0.8315165215702984
309,0.9416518759437087
310,1.0
311,0.9354509192661047
312,0.7968429637452168
313,0.9880592798831489
314,0.9120699183614334
315,0.8977448638112846
316,1.0
317,0.8699575541858062
318,0.7550366158169812
319,0.7653996129056098
320,0.9786489032111827
321,0.9166832428770155
322,0.7456193374730722
323,0.9950849747323309
324,0.714540097253634
325,0.7481209184162774
326,0.9859069772171052
327,0.7628723229616596
328,0.7705143056484127
329,0.9788786440256305
330,0.8722860275420679
331,0.8132098281651725
332,0.8261940899042655
333,0.9888510984213312
334,0.6841949587184768
335,0.6977858899814613
336,0.9486583512165572
337,0.6816427426825282
338,0.7176274138692103
339,0.9868216189303878
340,0.6890707003215135
341,0.7138563327019922
342,0.9705394749126841
343,0.9184125751749406
344,0.6959922405574017
345,0.9434967106448697
346,0.7995027425368815
347,0.8205957029814526
348,0.9971498514186397
349,0.7184828821029521
350,0.7625354604557264
351,0.9541669924311671
352,0.9127791236767905
353,0.8805893669978411
354,0.9293714055726048
355,0.6839964496921396
356,0.7419360356518848
357,0.9714755995711353
358,0.7017864079831744
359,0.7257676033722877
360,0.9832888820680012
361,0.9123512932873242
362,0.8829026442420516
363,0.9673702094047967
364,0.7197176565194519
365,0.7387913617351876
366,0.9591288024931748
367,0.8887424404257868
368,0.8466808196464672
369,0.7099158199914002
370,0.7308063335154462
371,0.957351950840521
372,0.915753668921972
373,0.6894220308251691
374,0.9376098422612427
375,0.714370226725229
376,0.7429740638647984
377,0.977578160932774
378,0.8393215792753748
379,0.9552543051126479
380,1.0
381,0.8416975915159444
382,0.9379161926837045
383,1.0
384,0.7185650840637972
385,0.746183859409937
386,0.9879894156686764
387,0.9192616192501689
388,0.7382663448798946
389,0.9674237607380716
390,0.7193591716098322
391,0.7518871583298918
392,0.9876515989732464
393,0.8579347692330255
394,0.8780409297220706
395,0.8027605828473061
396,0.8194474741484432
397,0.9923576425989555
398,0.7653440259438782
399,0.7702908250273384
400,0.9776567791317108
401,0.9299955739380792
402,0.8083973966816926
403,1.0
404,0.9114767953153526
405,0.8768259562262972
406,1.0
407,0.8859895362318437
408,1.0
409,1.0
410,0.9822526098034148
411,1.0
412,1.0
413,0.9682736803169856
414,1.0
415,1.0
416,0.952091500558363
417,1.0
418,1.0
419,0.8722287584983869
420,1.0
421,1.0
422,0.8028662959792583
423,0.8732800466376331
424,1.0
425,0.9328184331840551
426,0.7897875097201514
427,0.9860516309091021
428,0.935265174393015
429,0.7633779252688444
430,0.9687246081151686
431,0.791746099244153
432,0.82064039563125
433,0.9975247715028437
434,0.8744327022082028
435,0.9110864325074872
436,0.8990727490358283
437,1.0
438,0.8898273945113182
439,0.9031507068146556
440,1.0
441,0.8864865649336806
442,0.9731422880541738
443,1.0
444,0.871077956752431
445,0.9759201700125355
446,1.0
447,0.8877022002790346
448,0.9603417992959218
449,1.0
450,0.8663832493669932
451,0.9780236030601004
452,1.0
453,0.8814660939499936
454,0.9684416376304201
455,1.0
456,0.9637904277233996
457,0.9145443488804119
458,1.0
459,0.918372077437406
460,0.9012100605615248
461,1.0
462,0.8753485292924286
463,0.9688787467819686
464,1.0
465,1.0
466,0.9659260278012405
467,1.0
468,1.0
469,0.9045070825942683
470,1.0
471,1.0
472,0.9197202865557852
473,1.0
474,1.0
475,0.9724572795376192
476,1.0
477,1.0
478,1.0
479,0.986257370380468
480,1.0
481,1.0
482,0.9635380388361932
483,1.0
484,1.0
485,0.912856725593854
486,1.0
487,1.0
488,0.9113869168943924
489,1.0
490,1.0
491,0.9658024342140987
492,1.0
493,1.0
494,1.0
495,0.876162414937351
496,0.9175958113439882
497,0.900407035937534
498,1.0
499,0.8943054728753852
500,0.9095094409607125
501,1.0
502,0.8910357966366468
503,0.9676544425824813
504,1.0
505,0.8639568522965894
506,0.9749046432702901
507,1.0
508,0.8858291837876915
509,0.9608217045803444
510,1.0
511,0.8689144954196544
512,0.9790842445217272
513,1.0
514,0.9000359695433118
515,0.9663263157705835
516,1.0
517,0.8820457510568209
518,0.9106036117084118
519,1.0
520,0.9090221513655417
521,0.9013204796320895
522,1.0
523,0.8773064737520119
524,0.8029297820674115
525,0.8227566297499926
526,0.994393145028095
527,0.757224152212975
528,0.7637775568647454
529,0.9717213479622584
530,0.9333010315337151
531,0.7978416010715774
532,1.0
533,0.8094924698225323
534,0.8763538492910612
535,1.0
536,0.8927014162415925
537,1.0
538,1.0
539,0.9783476810465521
540,1.0
541,1.0
542,0.958338518767661
543,1.0
544,1.0
545,0.962715436259292
546,1.0
547,1.0
548,0.8830097199564995
549,1.0
550,1.0
551,0.7932264355299017
552,0.86936472440313
553,1.0
554,0.9289759524756791
555,0.7902446843781197
556,0.9929827623846101
557,0.7646831619812684
558,0.7682263681988701
559,0.9688066438553062
560,0.796414061395013
561,0.8245357134868172
562,0.9955704042870064
563,0.842854382349586
564,0.7170726888979839
565,0.7363204118961786
566,0.9553163868369188
567,0.9136564178263478
568,0.688290187292194
569,0.9385452864538262
570,0.6966459147479391
571,0.7302007040469585
572,0.975298602145819
573,0.829983432355422
574,0.9389984025012788
575,1.0
576,0.8258198256722746
577,0.9424997307280761
578,1.0
579,0.9260896998198247
580,0.7581173540504264
581,0.9788579266307269
582,0.9159046979488484
583,0.6958855164713784
584,0.9439952359255661
585,0.7182386306150133
586,0.7370004485926116
587,0.9618091448475652
588,0.8433485689209395
589,0.7111176305280547
590,0.7251476628623046
591,0.9388907099631707
592,0.914295102536237
593,0.8791404454720784
594,0.9187775041149644
595,0.6770496112466016
596,0.7046337995699468
597,0.980993095349338
598,0.6729997796389462
599,0.7050753576165838
600,0.9704846929374458
601,0.6555865045067275
602,0.8784039780434855
603,0.9581155932920333
604,0.7136177603394271
605,0.9063528181150893
606,0.9368983138353577
607,0.881472959456916
608,0.8174292692886951
609,0.8317836988237476
610,0.9838031713487767
611,0.9195060964715451
612,0.692664554691194
613,0.9332364303858516
614,0.6804732577286352
615,0.7123132931560194
616,0.9760955680389936
617,0.6752515607946026
618,0.7339433248247209
619,0.9628326563951224
620,0.9158686672598596
621,0.6855346626784611
622,0.9231690843463047
623,0.8029282465844458
624,0.8110064021191574
625,0.9839550830222241
626,0.8618617022381265
627,0.7729177789682047
628,0.7763896336473568
629,0.9831200573564232
630,0.718644568448463
631,0.7565463887877435
632,0.9933259354095191
633,0.9279215889202068
634,0.7410037443978581
635,0.9837358780477823
636,0.7550828318355229
637,0.7632693103036639
638,0.9769455378467184
639,0.8660192379791198
640,0.8943190593655026
